時刻,種別,行き先
05:16,普通,大阪梅田
05:35,普通,大阪梅田
05:54,普通,大阪梅田
06:12,普通,大阪梅田
06:18,普通,大阪梅田
06:22,普通,大阪梅田
06:33,普通,大阪梅田
06:43,普通,大阪梅田
06:47,普通,大阪梅田
06:57,普通,大阪梅田
07:06,普通,大阪梅田
07:17,普通,大阪梅田
07:28,普通,大阪梅田
07:45,普通,大阪梅田
07:48,普通,大阪梅田
08:03,普通,大阪梅田
08:21,普通,大阪梅田
08:32,普通,大阪梅田
08:49,普通,大阪梅田
09:09,普通,大阪梅田
09:29,普通,大阪梅田
09:50,普通,大阪梅田
10:11,普通,大阪梅田
10:31,普通,大阪梅田
10:51,普通,大阪梅田
11:11,普通,大阪梅田
11:31,普通,大阪梅田
11:51,普通,大阪梅田
12:11,普通,大阪梅田
12:31,普通,大阪梅田
12:51,普通,大阪梅田
13:11,普通,大阪梅田
13:31,普通,大阪梅田
13:51,普通,大阪梅田
14:11,普通,大阪梅田
14:31,普通,大阪梅田
14:51,普通,大阪梅田
15:11,普通,大阪梅田
15:31,普通,大阪梅田
15:50,普通,大阪梅田
16:10,普通,大阪梅田
16:30,普通,大阪梅田
16:50,普通,大阪梅田
17:13,普通,大阪梅田
17:24,普通,大阪梅田
17:33,普通,大阪梅田
17:43,普通,大阪梅田
17:53,普通,大阪梅田
18:04,普通,大阪梅田
18:14,普通,大阪梅田
18:24,普通,大阪梅田
18:34,普通,大阪梅田
18:44,普通,大阪梅田
18:54,普通,大阪梅田
19:04,普通,大阪梅田
19:15,普通,大阪梅田
19:23,普通,大阪梅田
19:33,普通,大阪梅田
19:44,普通,大阪梅田
19:54,普通,大阪梅田
20:04,普通,大阪梅田
20:08,普通,大阪梅田
20:14,普通,大阪梅田
20:24,普通,大阪梅田
20:34,普通,大阪梅田
20:45,普通,大阪梅田
20:55,普通,大阪梅田
21:04,普通,大阪梅田
21:08,普通,大阪梅田
21:19,普通,大阪梅田
21:30,普通,大阪梅田
21:43,普通,大阪梅田
21:55,普通,大阪梅田
22:08,普通,大阪梅田
22:21,普通,大阪梅田
22:31,普通,大阪梅田
22:46,普通,大阪梅田
23:00,普通,大阪梅田
23:14,普通,大阪梅田
23:29,普通,大阪梅田
23:44,普通,大阪梅田
